id,x,y,gender
aim,0.4749633689126121,-0.1983501867405627,female
apr,0.33297309447821827,0.33298081247532346,female
cha,0.13129452367981215,-0.09837324650460982,female
ctr,0.5717622769914088,0.4193960672249642,male
gil,-0.9865864357731968,-0.9866338104189193,male
gre,0.65227274713561,0.611783522363426,male
pau,0.680683713845273,-0.03068206173033791,male
pet,-0.03852094906987258,-0.4899880215428416,male
shl,0.1856865950533641,0.1856784350114657,female
stn,-0.27675582373155566,-0.2767654740119064,male
ter,-0.24913773276496626,-0.9565155583868289,female
tre,-0.9681798803751329,-0.9690557573019648,male
ace,0.5587759874593599,-0.06269576978860739,female w/o transcripts
all,-0.9952160751299678,-0.9952723330347564,female w/o transcripts
fra,0.14151591896247634,0.14152687004204417,female w/o transcripts
jeb,-0.9965388255717682,-0.9965348267734473,male w/o transcripts
jes,0.24744244023870166,-0.3977692760248391,female w/o transcripts
sho,-0.18772609559855796,-0.8949957314783222,female w/o transcripts
bra,-0.5297302308677886,-0.9175016092643481,male w/o transcripts
brt,0.4528531668677278,-0.03011361032204779,female w/o transcripts
dev,-0.21873440467717398,-0.9789874834355601,male w/o transcripts
emi,0.2623712907087951,0.1318445936727321,female w/o transcripts
geo,-0.8218054192818187,-0.9253569677593877,male w/o transcripts
mit,-0.9951484165066545,-0.9951773516120893,male w/o transcripts
bri,0.39873867953305725,0.3987954442843982,male w/o transcripts
don,0.21357400853497716,-0.9977995192608689,male w/o transcripts
eth,-0.6941417187867087,-0.9994000496299853,male w/o transcripts
jac,-0.09748157323409251,-0.9846044690685547,male w/o transcripts
kar,0.32506226825721235,-0.1721133518955178,female w/o transcripts
rem,-0.5214759334987624,-0.9894562022070484,male w/o transcripts
ali,0.3509344651242532,-0.2160394066653301,female w/o transcripts
ast,0.971094778610262,0.9712549518122001,female w/o transcripts
cla,0.2657041479745301,-0.9794978721132943,female w/o transcripts
dia,0.30129130857461184,0.5041462613666481,female w/o transcripts
jus,-0.09815083540460484,-0.9580056514413744,male w/o transcripts
kev,-0.14381071304277732,-0.3170170154481196,male w/o transcripts
rau,-0.38269995111500577,-0.9578796566075196,male w/o transcripts
sar,-0.5114211299808822,-0.9923943336711708,female w/o transcripts
tru,-0.19006233344079193,-0.9536030812277724,male w/o transcripts
dea,-0.4012368944649629,-0.9989951160064726,male w/o transcripts
guy,0.43013350949843576,-0.7742185070571723,male w/o transcripts
jas,0.3904792914469282,-0.9463446346530753,male w/o transcripts
may,-0.07721165056722956,-0.9675584085026601,female w/o transcripts
mrk,-0.32575468897737275,-0.9990502836069654,male w/o transcripts
ann,-0.12489062358398506,-0.12489020449939825,female w/o transcripts
arl,-0.5496633231922782,-0.9840744436096901,male w/o transcripts
cat,-0.15379236838799337,-0.9986479379055413,female w/o transcripts
jam,0.2811536629463417,-0.9973779967846337,male w/o transcripts
jer,-0.9935668404824731,-0.9935615001491381,male w/o transcripts
joy,-0.09058335630966818,-0.9368547645271892,female w/o transcripts
kur,-0.04581562081672397,-0.823251314784681,male w/o transcripts
mel,-0.12725163820224744,-0.5611725257739113,female w/o transcripts
roc,-0.8980190956100207,-0.9281198835755172,female w/o transcripts
ros,0.012089912364284305,0.01209366049650712,female w/o transcripts
sop,0.7685737055415056,-0.9950970236621246,female w/o transcripts
tam,-0.6285957709599902,-0.7183939777911145,female w/o transcripts
tod,-0.4214593440955151,-0.9284277731227515,male w/o transcripts
tri,-0.5143396283892365,-0.5384848712359318,female w/o transcripts
vic,0.0590890817917748,0.05908761416802849,female w/o transcripts
adm,-0.5094559750844607,-0.8266755262739505,male w/o transcripts
cas,0.32534863795467533,-0.27421609315897943,male w/o transcripts
con,-0.37464270395436006,-0.9438553417604566,male w/o transcripts
dav,-0.27410022489502117,-0.6816405439315294,male w/o transcripts
jea,-0.5681624892979507,-0.8571328916246456,female w/o transcripts
joe,-0.1513894505600098,-0.9982945594330962,male w/o transcripts
meg,-0.9988226615567655,-0.9988332722118692,female w/o transcripts
mia,0.24357116801183842,-0.9750559364591234,female w/o transcripts
mon,0.3671875085457242,-0.9545227081988943,female w/o transcripts
ril,-0.0660633951898224,-0.9985672659329738,female w/o transcripts
sus,0.1378453408577202,-0.6573216680222815,female w/o transcripts
brn,-0.10526998178214769,-0.997579580132055,female w/o transcripts
jen,0.13802452458485748,0.13800453908120902,female w/o transcripts
mar,0.6681921412365743,-0.052868616151001996,female w/o transcripts
tom,-0.9949552486434393,-0.9950419496297357,male w/o transcripts
