id,x,y,gender
ali,0.8360524998519139,-0.9856365956913096,female
cha,-0.8093372603371185,-0.9996749390675462,female
con,-0.8557916906985895,-0.9981161887587207,male
joe,-0.5629149310590734,-0.9956881332876696,male
mel,-0.9976038342435817,-0.9976252795486161,female
ros,-0.9351861803535882,-0.9985815612613747,female
sus,-0.995926142679378,-0.9957234758104296,female
ace,-0.9912156292633526,-0.9911284894087432,female w/o transcripts
all,-0.4691739636960543,-0.9915918176403935,female w/o transcripts
fra,0.14151591896247634,0.14152687004204417,female w/o transcripts
jeb,-0.9421792273469486,-0.9985369544027648,male w/o transcripts
jes,-0.5009945975813808,-0.9979961532900754,female w/o transcripts
sho,-0.6727764230273168,-0.9967965973632973,female w/o transcripts
apr,-0.9981566444083152,-0.929363966686898,female w/o transcripts
bra,-0.7887176931934847,-0.998242977748443,male w/o transcripts
brt,-0.9989258705980715,0.4164846673095887,female w/o transcripts
dev,-0.6070947461836278,0.5166013157110285,male w/o transcripts
emi,-0.8627897832036951,-0.9936607418659542,female w/o transcripts
geo,-0.9413932617410145,-0.9706947232057465,male w/o transcripts
mit,-0.9951484165066545,-0.9951773516120893,male w/o transcripts
ter,-0.9166549625003974,-0.9952592658465876,female w/o transcripts
bri,-0.6583111910092942,-0.8656651076538089,male w/o transcripts
don,-0.6447572682063596,-0.9961993863355247,male w/o transcripts
eth,-0.9984450598311208,-0.9984170928657767,male w/o transcripts
gre,-0.7701544463675969,-0.9919761042166957,male w/o transcripts
jac,-0.8871981777642445,-0.997655530440452,male w/o transcripts
kar,-0.06597428001736078,-0.7809927232374092,female w/o transcripts
pet,-0.9855512200077887,-0.9991135166732981,male w/o transcripts
rem,-0.9554031366100418,-0.955414063154211,male w/o transcripts
aim,0.22280319655813818,-0.980525354841745,female w/o transcripts
ast,-0.39052350214028164,-0.9815142602480866,female w/o transcripts
cla,0.1815648698056324,-0.9915287430421282,female w/o transcripts
dia,-0.9333958250499503,-0.94396873489983,female w/o transcripts
gil,-0.3282227060876809,-0.9975490735968557,male w/o transcripts
jus,-0.9829218114767361,-0.9829801302891221,male w/o transcripts
kev,-0.9945603746067213,-0.9946913089803039,male w/o transcripts
rau,-0.9971310723114986,-0.9971524124490511,male w/o transcripts
sar,-0.27073905163898193,-0.9981334288995427,female w/o transcripts
shl,-0.9515512182497591,-0.972550914213048,female w/o transcripts
stn,-0.9827564415927115,-0.9832625871255594,male w/o transcripts
tru,-0.19006233344079193,-0.9536030812277724,male w/o transcripts
ctr,-0.7964125615550757,-0.9959025756330405,male w/o transcripts
dea,-0.99942868610764,-0.21690366604523803,male w/o transcripts
guy,0.3219170471361387,0.44575739618144067,male w/o transcripts
jas,0.3904792914469282,-0.9463446346530753,male w/o transcripts
may,-0.877432857152111,-0.9984766219603313,female w/o transcripts
mrk,-0.8290948203751155,-0.8799110421174079,male w/o transcripts
pau,-0.40527724644030305,-0.8578500528652082,male w/o transcripts
tre,-0.06495480280601124,-0.9121977951922982,male w/o transcripts
ann,-0.9987681266592181,0.8730953529354855,female w/o transcripts
arl,-0.9833678236637269,-0.9835692666688461,male w/o transcripts
cat,0.1502112192893878,-0.9749731457067825,female w/o transcripts
jam,-0.9806885561817931,-0.9818643372284374,male w/o transcripts
jer,-0.9980367408315686,-0.581421283672549,male w/o transcripts
joy,-0.9375345276018937,-0.9868910219594275,female w/o transcripts
kur,-0.5225611833650865,-0.8460514372763883,male w/o transcripts
roc,-0.9980572169895494,-0.9980482359733637,female w/o transcripts
sop,0.7685737055415056,-0.9950970236621246,female w/o transcripts
tam,-0.7978471610331097,-0.8775780466602618,female w/o transcripts
tod,-0.3766559919878844,-0.9972426374991121,male w/o transcripts
tri,-0.9396936388829009,-0.9639249808966367,female w/o transcripts
vic,-0.8766376786066256,-0.9973103836971405,female w/o transcripts
adm,-0.9005915944617319,-0.9352135491123615,male w/o transcripts
cas,-0.8453903473462601,-0.9950844012426083,male w/o transcripts
dav,-0.9990331461215897,-0.9821280520998952,male w/o transcripts
jea,-0.7252141817671003,-0.929882608232549,female w/o transcripts
meg,-0.9470499645012941,-0.9989381621438264,female w/o transcripts
mia,0.24357116801183842,-0.9750559364591234,female w/o transcripts
mon,-0.43471734554386526,-0.994197146489202,female w/o transcripts
ril,-0.9903103703833074,-0.8572037903637086,female w/o transcripts
brn,-0.08922697939473956,-0.9972773350007007,female w/o transcripts
jen,-0.7909122165432418,-0.7378191760697885,female w/o transcripts
mar,-0.903619375886269,0.5122746874441924,female w/o transcripts
tom,-0.9743965034096708,-0.9972264479824622,male w/o transcripts
ras,-0.9987409967610681,0.06411875308706544,female w/o transcripts
mor,-0.7927443026219239,-0.9933910931959536,male w/o transcripts
ned,-0.8923379334540243,-0.9918864075804102,male w/o transcripts
car,-0.9939475511450848,-0.9941175564615745,male w/o transcripts
