id,x,y,gender
aim,-0.08946345309383719,-0.5117696233691481,female
ast,0.4978155343370585,0.4972497640618545,female
cha,0.19546127893903975,0.028626949361973963,female
cla,0.4920133256013972,0.22742029964589297,female
ctr,-0.21191058151600933,0.6453583566176319,male
dea,0.35952317953577523,-0.30732601162870427,male
guy,-0.25145554590907804,-0.13183993549617135,male
jas,0.29204830937546944,0.023291417624776156,male
may,0.4173200588951657,0.74604811515694,female
mrk,0.5798663099396244,0.02691333363752313,male
pau,0.08662335127364279,-0.6814021374931696,male
tre,0.8555873336937105,0.8502840884899281,male
45G,-0.9982214937104424,-0.9982506585966969,female w/o transcripts
amy,-0.3575910784117681,-0.9877927807538109,female w/o transcripts
betty,-0.21120788928978845,-0.9783325464482553,female w/o transcripts
chuck,-0.23646952519045372,-0.34111125663944,male w/o transcripts
doug,-0.022773680429311494,-0.4710656699259754,male w/o transcripts
ed,-0.26024720246986793,-0.9878909568461176,male w/o transcripts
frank,0.37041927981719774,-0.6504524227660611,male w/o transcripts
hank,-0.5259455689738326,-0.9484350201391873,male w/o transcripts
ivy,-0.09823656820907081,0.11065217721640686,female w/o transcripts
keith,0.4036016901490034,-0.46993101181943503,male w/o transcripts
kent,-0.27706533171730796,-0.27716414226133956,male w/o transcripts
linda,-0.640099396960855,-0.9262695722602394,female w/o transcripts
mandy,0.10782075246440831,-0.7878390869357188,female w/o transcripts
nan,-0.26039439786890123,-0.991924360593231,female w/o transcripts
olivia,0.029550107208880072,-0.5932545634388245,female w/o transcripts
paula,-0.6511115744126076,-0.821923810419345,female w/o transcripts
pete,0.03111557097715517,-0.06952502993950388,male w/o transcripts
ruth,-0.18709951801010682,-0.9883346206016268,female w/o transcripts
steve,0.5192010622860547,-0.7313002891249452,male w/o transcripts
sue,-0.12044961967632783,-0.9846813142403672,female w/o transcripts
zeke,-0.09775328465262101,-0.38735803406187197,male w/o transcripts
01G,-0.9970118354759707,-0.9970794129720418,female w/o transcripts
09G,-0.812710501728779,-0.9983643749424608,female w/o transcripts
10G,-0.998023517743753,-0.9980439106074742,female w/o transcripts
12G,-0.5669498244941913,-0.6104004759583119,female w/o transcripts
18B,-0.5609794122557475,-0.9929754646960958,male w/o transcripts
21B,-0.9694144438538121,-0.9694345203704084,male w/o transcripts
22B,-0.9971436228854188,-0.9972112261236801,male w/o transcripts
25G,-0.8484225452174536,-0.8484641141441368,female w/o transcripts
26B,-0.5745198887917761,-0.9499757044980321,male w/o transcripts
28G,-0.9092741370638715,-0.8948654017186446,female w/o transcripts
30B,-0.32646782553311626,-0.9134295972776407,male w/o transcripts
35G,-0.7374857706263745,-0.8242824673030431,female w/o transcripts
40B,-0.9982818281704927,-0.9982878278609325,male w/o transcripts
41G,-0.9888060339513826,-0.9983348561285962,female w/o transcripts
43B,-0.4592258021323643,-0.9653311290811204,male w/o transcripts
44B,-0.813188831957314,-0.9951614615779857,male w/o transcripts
46G,-0.2443949764657069,-0.7510731271552161,female w/o transcripts
47B,-0.9976979148737507,-0.9977082006867026,male w/o transcripts
48B,-0.813745759339403,-0.9917448552127057,male w/o transcripts
54B,-0.4005464429145003,-0.998147472204181,male w/o transcripts
55G,-0.5501086483065885,-0.5500098964118418,female w/o transcripts
57B,-0.9656090661649319,-0.9981243708337006,male w/o transcripts
58G,-0.8477378093639372,-0.8477467247465643,female w/o transcripts
59B,-0.8770411094315047,-0.8770361203810785,male w/o transcripts
60G,-0.9012433015085444,-0.9013382422520096,female w/o transcripts
61B,-0.997670334755507,-0.9976353920317823,male w/o transcripts
06B,-0.9985804259549423,-0.9985939771445154,male w/o transcripts
19G,-0.8906331376649471,-0.8906930473820734,female w/o transcripts
39B,-0.5793020087098787,-0.8878114284544654,male w/o transcripts
gloria,-0.08234141275856682,-0.3153343002630107,female w/o transcripts
11B,-0.1555407396812048,-0.46332816435967694,male w/o transcripts
ianava,0.49815150825288507,0.1099645870028873,male w/o transcripts
nanjim,0.6488661029546636,-0.9948887430347724,female w/o transcripts
samava,-0.09941930754019423,-0.787987916899026,male w/o transcripts
samian,0.7437534508864888,-0.7366172712937147,male w/o transcripts
kimada,0.5867330515900665,-0.9868341003174691,female w/o transcripts
maxjim,0.5400043341819218,-0.8063621488250854,male w/o transcripts
maxnan,-0.13810983617462635,-0.9953714116590358,male w/o transcripts
pegjan,-0.31459446467452956,-0.8702227198529142,female w/o transcripts
pegron,0.592748543321193,-0.8365478871312061,female w/o transcripts
royada,0.01963585720962374,-0.8477828776303322,male w/o transcripts
roykim,0.7093816814233103,-0.9886388007554205,male w/o transcripts
ronjan,0.8739417139193273,-0.9927064523948815,male w/o transcripts
amyann,0.2102371928095127,-0.9954132722312627,female w/o transcripts
amywes,0.5102068482455393,-0.9320277234713377,female w/o transcripts
kayben,0.8450574778258744,-0.5555396379074502,female w/o transcripts
kaydeb,0.41918083336133466,-0.9955579866730893,female w/o transcripts
ace,-0.38721493223692244,0.9826038548725464,female w/o transcripts
all,0.5065649515509236,-0.3063182480531852,female w/o transcripts
bendeb,0.7199344559971372,-0.35041322775940015,male w/o transcripts
fra,0.07874002063945658,0.11211075557689858,female w/o transcripts
jeb,0.8381084303259454,0.3008536388603649,male w/o transcripts
jes,0.15772831197578732,0.23851969337658843,female w/o transcripts
sho,0.7167622381252432,0.7270956415208656,female w/o transcripts
apr,0.7998177525772809,0.832744589558222,female w/o transcripts
bra,-0.024689777918915412,-0.3595467751295027,male w/o transcripts
brt,0.6754742690089106,0.4605766574362618,female w/o transcripts
dev,-0.2357472701073784,0.3874519514413092,male w/o transcripts
emi,-0.014630478019153459,0.10962129304506035,female w/o transcripts
geo,0.7343505353698344,-0.3663536787713524,male w/o transcripts
mit,-0.07648050360364378,-0.07669138338935266,male w/o transcripts
ter,0.7663002643792111,-0.765886717869095,female w/o transcripts
bri,0.27225653281217693,0.013811878052558124,male w/o transcripts
don,-0.044537422830265405,0.4648628351422912,male w/o transcripts
dontim,0.5733251329076955,-0.2885973542779402,male w/o transcripts
eth,0.6668766310503877,-0.27193302558874555,male w/o transcripts
gre,0.657962506918571,0.27739508940263047,male w/o transcripts
jac,0.9282361748266625,0.501267808270849,male w/o transcripts
kar,-0.064444142384796,0.6005112001289657,female w/o transcripts
pet,0.1691423108863611,-0.15371668485420253,male w/o transcripts
rem,0.9733642147918047,0.9728606358171741,male w/o transcripts
ali,-0.06828074991482072,0.08425873086915822,female w/o transcripts
dia,-0.0467216630318158,0.48077455968577876,female w/o transcripts
gil,0.22823059497770895,0.2010413776421849,male w/o transcripts
jus,0.3532913045569672,0.37417356282525094,male w/o transcripts
kev,0.45034951064990436,0.2701782804969969,male w/o transcripts
rau,0.042679783405660865,-0.15852634643593513,male w/o transcripts
sar,0.1607927018262202,0.48227239840796665,female w/o transcripts
shl,0.30795753178487284,0.4964166195255535,female w/o transcripts
stn,0.21115157778085764,0.284759309305836,male w/o transcripts
tru,0.7283529969050195,-0.13004883114440483,male w/o transcripts
