id,x,y,gender
10G,-0.998023517743753,-0.9980439106074742,female
12G,-0.5669498244941913,-0.6104004759583119,female
18B,-0.5609794122557475,-0.9929754646960958,male
19G,-0.8906331376649471,-0.8906930473820734,female
26B,-0.5745198887917761,-0.9499757044980321,male
28G,-0.9092741370638715,-0.8948654017186446,female
39B,-0.5793020087098787,-0.8878114284544654,male
41G,-0.9888060339513826,-0.9983348561285962,female
44B,-0.813188831957314,-0.9951614615779857,male
48B,-0.813745759339403,-0.9917448552127057,male
55G,-0.5501086483065885,-0.5500098964118418,female
59B,-0.8770411094315047,-0.8770361203810785,male
60G,-0.9012433015085444,-0.9013382422520096,female
maxjim,0.5400043341819218,-0.8063621488250854,male
maxnan,-0.13810983617462635,-0.9953714116590358,male
pegjan,-0.31459446467452956,-0.8702227198529142,female
pegron,0.592748543321193,-0.836547887131206,female
45G,-0.9982214937104424,-0.9982506585966969,female w/o transcripts
amy,-0.3575910784117681,-0.9877927807538109,female w/o transcripts
betty,-0.21120788928978845,-0.9783325464482553,female w/o transcripts
chuck,-0.23646952519045372,-0.34111125663944,male w/o transcripts
doug,-0.022773680429311494,-0.4710656699259754,male w/o transcripts
ed,-0.26024720246986793,-0.9878909568461176,male w/o transcripts
frank,0.37041927981719774,-0.6504524227660611,male w/o transcripts
hank,-0.5259455689738326,-0.9484350201391873,male w/o transcripts
ivy,-0.09823656820907081,0.11065217721640686,female w/o transcripts
keith,0.4036016901490034,-0.46993101181943503,male w/o transcripts
kent,-0.27706533171730796,-0.27716414226133956,male w/o transcripts
linda,-0.640099396960855,-0.9262695722602394,female w/o transcripts
mandy,0.10782075246440831,-0.7878390869357188,female w/o transcripts
nan,-0.26039439786890123,-0.991924360593231,female w/o transcripts
olivia,0.029550107208880072,-0.5932545634388245,female w/o transcripts
paula,-0.6511115744126076,-0.821923810419345,female w/o transcripts
pete,0.03111557097715517,-0.06952502993950388,male w/o transcripts
ruth,-0.18709951801010682,-0.9883346206016268,female w/o transcripts
steve,0.5192010622860547,-0.7313002891249452,male w/o transcripts
sue,-0.12044961967632783,-0.9846813142403672,female w/o transcripts
zeke,-0.09775328465262101,-0.38735803406187197,male w/o transcripts
01G,-0.9970118354759707,-0.9970794129720418,female w/o transcripts
09G,-0.812710501728779,-0.9983643749424608,female w/o transcripts
21B,-0.9694144438538121,-0.9694345203704084,male w/o transcripts
22B,-0.9971436228854188,-0.9972112261236801,male w/o transcripts
25G,-0.8484225452174536,-0.8484641141441368,female w/o transcripts
30B,-0.32646782553311626,-0.9134295972776407,male w/o transcripts
35G,-0.7374857706263745,-0.8242824673030431,female w/o transcripts
40B,-0.9982818281704927,-0.9982878278609325,male w/o transcripts
43B,-0.4592258021323643,-0.9653311290811204,male w/o transcripts
46G,-0.2443949764657069,-0.7510731271552161,female w/o transcripts
47B,-0.9976979148737507,-0.9977082006867026,male w/o transcripts
54B,-0.4005464429145003,-0.998147472204181,male w/o transcripts
57B,-0.9656090661649319,-0.9981243708337006,male w/o transcripts
58G,-0.8477378093639372,-0.8477467247465643,female w/o transcripts
61B,-0.997670334755507,-0.9976353920317823,male w/o transcripts
06B,-0.9985804259549423,-0.9985939771445154,male w/o transcripts
gloria,-0.08234141275856682,-0.3153343002630107,female w/o transcripts
11B,-0.1555407396812048,-0.46332816435967694,male w/o transcripts
ianava,0.49815150825288507,0.1099645870028873,male w/o transcripts
nanjim,0.6488661029546636,-0.9948887430347724,female w/o transcripts
samava,-0.09941930754019423,-0.787987916899026,male w/o transcripts
samian,0.7437534508864888,-0.7366172712937147,male w/o transcripts
kimada,0.5867330515900665,-0.9868341003174691,female w/o transcripts
